sub_ux_id,user_id,ux_start_date,ux_end_date,sub_type,download_id,date,datetime,user_id,session_id,resource_id,career_id,country_id
21444556,11201887,2023-06-21,2023-07-20,2,1571134139,2023-07-21,2023-07-21 00:48:15,11201887,ds3ee1ccu5920sn8ednaoghfkd-0,3836086,125,12
21444556,11201887,2023-06-21,2023-07-20,2,1571134439,2023-07-21,2023-07-21 00:49:08,11201887,ds3ee1ccu5920sn8ednaoghfkd-0,6515944,125,12
21444556,11201887,2023-06-21,2023-07-20,2,1571135395,2023-07-21,2023-07-21 00:52:05,11201887,ds3ee1ccu5920sn8ednaoghfkd-0,6711187,125,12
21444621,3206857,2023-06-21,2023-07-20,2,1571135073,2023-07-21,2023-07-21 00:51:04,3206857,q13902ot0p42bbemleefljjh2a-0,6623752,40,12
21444640,11205089,2023-06-21,2023-07-20,2,1571129715,2023-07-21,2023-07-21 00:34:59,11205089,n3693k6f30muntb4eivf9ldri9-0,1679449,735,12
21444776,13977515,2023-06-21,2023-07-20,2,1571119183,2023-07-21,2023-07-21 00:03:59,13977515,c4uksvl1v09bilm1htl0h5urq2-0,3209298,42,12
21444855,15979841,2023-06-21,2023-07-20,2,1571121814,2023-07-21,2023-07-21 00:12:18,15979841,1oe049ektg5n9hhkt238sent9h-0,6360035,735,12
21444855,15979841,2023-06-21,2023-07-20,2,1571124843,2023-07-21,2023-07-21 00:21:14,15979841,1oe049ektg5n9hhkt238sent9h-0,108086,735,12
21444855,15979841,2023-06-21,2023-07-20,2,1571125612,2023-07-21,2023-07-21 00:23:21,15979841,1oe049ektg5n9hhkt238sent9h-0,5562206,735,12
21444855,15979841,2023-06-21,2023-07-20,2,1571125920,2023-07-21,2023-07-21 00:24:10,15979841,1oe049ektg5n9hhkt238sent9h-0,6613385,735,12
21444855,15979841,2023-06-21,2023-07-20,2,1571126107,2023-07-21,2023-07-21 00:24:39,15979841,1oe049ektg5n9hhkt238sent9h-0,315802,735,12
